date,kg,
2022/1/15,74.8 ,18.6 
2022/1/16,74.8 ,20.0 
2022/1/17,74.7 ,18.6 
2022/1/18,74.6 ,18.8 
2022/1/19,74.6 ,18.6 
2022/1/20,75.0 ,18.0 
2022/1/21,75.1 ,18.3 
2022/1/22,75.0 ,18.8 
2022/1/23,75.3 ,18.6 
2022/1/24,75.9 ,18.3 
2022/1/25,75.2 ,18.7 
2022/1/26,75.2 ,18.9 
2022/1/27,74.9 ,18.1 
2022/1/28,74.7 ,18.8 
2022/1/29,74.7 ,19.2 
2022/1/30,74.7 ,17.8 
2022/1/31,74.9 ,18.7 
2022/2/1,74.6 ,18.3 
2022/2/2,74.9 ,19.1 
2022/2/3,74.7 ,19.0 
2022/2/4,74.7 ,19.3 
2022/2/5,74.6 ,18.7 
2022/2/6,74.8 ,19.3 
2022/2/7,75.2 ,19.7 
2022/2/8,74.8 ,19.1 
2022/2/9,75.0 ,18.8 
2022/2/10,75.2 ,19.6 
2022/2/11,75.1 ,19.3 
2022/2/12,74.8 ,17.7 
2022/2/13,75.8 ,19.5 
2022/2/14,75.8 ,18.9 
2022/2/15,75.0 ,18.0 
2022/2/16,74.9 ,19.1 
2022/2/17,75.1 ,19.9 
2022/2/18,74.9 ,19.1 
2022/2/19,74.9 ,19.3 
2022/2/20,75.3 ,18.5 
2022/2/21,75.7 ,19.0 
2022/2/22,75.0 ,18.5 
2022/2/23,74.5 ,18.5 
2022/2/24,74.6 ,19.5 
2022/2/25,74.5 ,18.3 
2022/2/26,74.6 ,18.8 
2022/2/27,74.3 ,19.0 
2022/2/28,74.9 ,18.8 
2022/3/1,75.2 ,18.9 
2022/3/2,74.5 ,19.3 
2022/3/3,75.2 ,18.1 
2022/3/4,75.2 ,18.5 
2022/3/5,74.9 ,19.3 
2022/3/6,74.9 ,19.3 
2022/3/7,75.8 ,17.8 
2022/3/8,75.5 ,18.5 
2022/3/9,74.9 ,19.7 
2022/3/10,75.4 ,18.5 
2022/3/11,75.4 ,19.6 
2022/3/12,,
2022/3/13,,
2022/3/14,75.3 ,18.4 
2022/3/15,75.1 ,18.9 
2022/3/16,74.8 ,18.1 
2022/3/17,74.7 ,18.9 
2022/3/18,74.9 ,18.4 
2022/3/19,74.5 ,18.7 
2022/3/20,74.8 ,18.4 
2022/3/21,74.5 ,19.0 
2022/3/22,74.8 ,18.5 
2022/3/23,74.3 ,19.1 
2022/3/24,75.3 ,19.0 
2022/3/25,75.4 ,19.1 
2022/3/26,74.4 ,17.9 
2022/3/27,,
2022/3/28,,
2022/3/29,75.7 ,19.0 
2022/3/30,74.4 ,19.4 
2022/3/31,75.0 ,19.0 
2022/4/1,75.2 ,19.0 
2022/4/2,74.8 ,19.0 
